ecosystem_id,ecosystem_name,metric_type,metric_label,value,value_numeric,unit,tipping_range_low,tipping_range_high,sources
coral-reefs,Coral Reefs,threshold,Reef area under severe threat,50,50,% degraded,70,90,"IPBES Global Assessment (2019); GCRMN Status of Coral Reefs of the World (2020); IPCC AR6 (2021)"
coral-reefs,Coral Reefs,stat,Marine species supported,25%,25,%,,,  "IPBES Global Assessment (2019); GCRMN Status of Coral Reefs of the World (2020)"
coral-reefs,Coral Reefs,stat,People dependent on reefs,500M,500000000,people,,,"IPBES Global Assessment (2019)"
coral-reefs,Coral Reefs,stat,Reef area under bleaching-level heat stress (2024),77%,77,%,,,"GCRMN Status of Coral Reefs of the World (2020); Hughes et al. Science (2018)"
amazon-rainforest,Amazon Rainforest,threshold,Original forest cleared,17,17,% deforested,20,25,"Lovejoy & Nobre Science Advances (2018); INPE; Armstrong McKay et al. Science (2022)"
amazon-rainforest,Amazon Rainforest,stat,Carbon stored,150–200 Gt,,GtC,,,"Global Carbon Project; Lovejoy & Nobre Science Advances (2018)"
amazon-rainforest,Amazon Rainforest,stat,Share of Earth's species found here,10%,10,%,,,"IPBES Global Assessment (2019)"
amazon-rainforest,Amazon Rainforest,stat,Rainfall self-generated by the forest,~50%,50,%,,,"Lovejoy & Nobre Science Advances (2018)"
arctic-sea-ice,Arctic Sea Ice,threshold,Summer ice volume lost since 1979,75,75,% volume lost,80,95,"NSIDC; IPCC AR6 WG1 (2021); Notz & Stroeve Science (2016)"
arctic-sea-ice,Arctic Sea Ice,stat,Arctic warming rate vs global average,4×,4,× faster,,,"IPCC AR6 WG1 (2021)"
arctic-sea-ice,Arctic Sea Ice,stat,September extent decline per decade,13%,13,% per decade,,,"NSIDC; IPCC AR6 WG1 (2021)"
arctic-sea-ice,Arctic Sea Ice,stat,Ice-free Arctic summers projected,~2030s,,decade,,,"IPCC AR6 WG1 (2021); Armstrong McKay et al. Science (2022)"
mangroves,Mangroves & Wetlands,threshold,Global mangrove area lost,35,35,% destroyed,40,60,"Global Mangrove Watch; IUCN Red List of Ecosystems; Friess et al. (2019)"
mangroves,Mangroves & Wetlands,stat,Carbon storage vs tropical rainforest (per hectare),4×,4,× more,,,"Global Mangrove Watch; Friess et al. (2019)"
mangroves,Mangroves & Wetlands,stat,Coastal people protected from storms,100M+,100000000,people,,,"IUCN Red List of Ecosystems"
mangroves,Mangroves & Wetlands,stat,Tropical fish species using mangroves as nurseries,75%,75,%,,,"Friess et al. Annual Review of Environment and Resources (2019)"
grasslands,Grasslands & Savannas,threshold,Original grassland converted,50,50,% converted,55,70,"IPBES Global Assessment (2019); WWF Living Planet Report; WWF Plowprint Report"
grasslands,Grasslands & Savannas,stat,Share of Earth's land surface once covered,40%,40,%,,,"IPBES Global Assessment (2019)"
grasslands,Grasslands & Savannas,stat,Great Plains converted per year (North America),1.6M acres,647497,hectares/year,,,"WWF Plowprint Report"
grasslands,Grasslands & Savannas,stat,Time to rebuild grassland soil once plowed,Centuries,,years,,,"IPBES Land Degradation Assessment (2018)"
